"Yes","Yes"
"No","No"
"VerifiedReviews","EchteBeoordelingen"
"Product Reviews","Product Reviews"
"Number of reviews","Aantal beoordelingen"
"Average rating","Gemiddeld cijfer"
"View the trust certificate","Certificaat van betrouwbaarheid weergeven"
"More Reviews...","Meer reviews..."
"No reviews for this product.","Geen reviews voor dit product"
"the","de"
"d/m/Y","d/m/Y"
"Comments of","Opmerkingen van"
"on","op"
"review(s)","beoordeling(en)"
"review","beoordeling"
"Review","Beoordeling"
"reviews","beoordelingen"
"Reviews","Beoordelingen"
"See the review(s)","De beoordeling(en) weergeven"
"Anonymous A.","Anonieme klant"
"Anonymous a.","Anonieme klant"
"anonymous a.","Anonieme klant"
"anonymous A.","Anonieme klant"
"anonymous  .","Anonieme klant"
"anonymous ","Anonieme klant"
"anonymous ","Anonieme klant"
"anonymous","Anonieme klant"
"Anonymous  .","Anonieme klant"
"Anonymous ","Anonieme klant"
"Anonymous ","Anonieme klant"
"Anonymous","Anonieme klant"
"Verified Reviews","Echte Beoordelingen"
"Export reviews (CSV file)","Beoordelingen exporteren (CSV-bestand)"
"Installation Status","Installatie Status"
"Configuration","Configuratie"
"General Configuration","Algemene configuratie"
"IMPORTANT: BEFORE ALL PLEASE SELECT THE STORE OR WEBSITE TO CONFIGURE IN THE TOP-LEFT MENU. You can configure the module for all websites, for a specific website or for a specific store view.","BELANGRIJK: VOORDAT U ALLE PRODUCTEN OF WEBSITE SELECTEERT, MOET U IN HET BOVEN MENU MENU CONFIGUREREN. U kunt de module configureren voor alle websites, voor een specifieke website of voor een specifieke winkelweergave."
"Enable Module in this view","Module inschakelen in deze weergave"
"By activating the module, you will reap your website and product reviews. Go to the advanced configuration if you want to change the product reviews configuration.","Door de module te activeren, zult u uw website en productrecensies ophalen. Ga naar de geavanceerde configuratie als u de configuratie van de productrecensies wilt wijzigen."
"Secret Key","Geheime sleutel"
"Website ID","Website ID"
"Advanced Configuration","Geavanceerde configuratie"
"Add reviews to product page","Beoordelingen toevoegen aan product pagina"
"This configuration is used to add the product reviews block in the product page.","Deze configuratie wordt gebruikt om het productrecensiesblok op de productpagina toe te voegen."
"jQuery present on the site?","JQuery aanwezig op de site?"
"Change this to yes, if jQuery is already used on the site.","Verander dit naar ja, als jQuery al op de site is gebruikt."
"Activate the Rich-Snippets in the product page","De Rich-Snippets activeren op de product pagina"
"Use the URL of the Parent product","Gebruik de URL van het Ouderproduct"
"ATTENTION! OPTION ONLY RESERVED FOR VERIFIED-REVIEWS TEAM. Change it only if our team contact you.","LET OP! OPTION ONLY RESERVERED FOR VERIFIED-REVIEWS TEAM. Wijzig het alleen als ons team contact met u opneemt."
"Use the SKU and PLA-GoogleShopping data of the Parent product.","Gebruik de SKU en PLA-GoogleShopping gegevens van het ouderlijke product."
"Google Shopping - Product Data (PLA)","Google Shopping - Product Gegevens (PLA)"
"Fields Mapping","Velden Mapping"
"IMPORTANT: Before all please select THE WEBSITE WHERE YOU ALREADY CONFIGURED THE MODULE, otherwise Google Shopping won't recognize your product data. Then UNCHECK ONLY THE FIELDS that you are sure to get extra product data for Google Shopping.","BELANGRIJK: Voor altijd selecteer DE WEBSITE WAAR U DE MODULE CONFIGUREDER, anders zal Google Shopping uw productgegevens niet herkennen. Vervolgens SLECHTS DE GEBIEDEN VERKOCHT, dat u zeker extra productgegevens voor Google Shopping krijgt."
"Google Shopping PLA can only be configured in WEBSITES, please select in the top-left menu the website that you want to configure.","Google Shopping PLA kan alleen in WEBSITES worden geconfigureerd, selecteer in het linkerbovenste menu de website die u wilt configureren."
"ID","ID"
"WARNING! ID is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WAARSCHUWING! ID is al bij uw producten, verander het alleen als u er zeker van bent dat de module een verkeerde gegevens verzamelt."
"SKU","SKU"
"WARNING! SKU is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WAARSCHUWING! SKU is al bij uw producten, verander het alleen als u er zeker van bent dat de module een verkeerde gegevens verzamelt."
"Short description (product name)","Korte beschrijving (productnaam)"
"WARNING! SHORT DESCRIPTION is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WAARSCHUWING! KORT BESCHRIJVING is al bij uw producten, verander het alleen als u er zeker van bent dat de module een verkeerde gegevens verzamelt."
"Link","Link"
"WARNING! PRODUCT LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WAARSCHUWING! PRODUCTLINK is al bij uw producten, verander het alleen als u er zeker van bent dat de module een verkeerde gegevens verzamelt."
"Image link","Productbeelds link"
"WARNING! PRODUCT IMAGE LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WAARSCHUWING! PRODUCTBEELDSLINK is al bij uw producten, verander het alleen als u er zeker van bent dat de module een verkeerde gegevens verzamelt."
"Brand","Merk"
"Category","Categorie"
"mpn","mpn"
"gtin_upc","gtin_upc"
"gtin_ean","gtin_ean"
"gtin_jan","gtin_jan"
"gtin_isbn","gtin_isbn"
"Extra Info 1","Extra Info 1"
"Extra Info 2","Extra Info 2"
"Extra Info 3","Extra Info 3"
"Extra Info 4","Extra Info 4"
"Extra Info 5","Extra Info 5"
"Extra Info 6","Extra Info 6"
"Extra Info 7","Extra Info 7"
"Extra Info 8","Extra Info 8"
"Extra Info 9","Extra Info 9"
"Extra Info 10","Extra Info 10"
"No rich-snippets","Geen rich-snippets"
"Rich-snippets using schema.org format","Rich-snippets met schema.org formaat"
"Store views","Winkelbezoeken"
"Store views title","Bekijk titel Store"
"Before all please select the store to export orders.","Alstublieft selecteer de winkel om orders uit te voeren."
"Order status","Bestelstatus"
"Keep all the options unchecked to get orders from all status.","Houd alle opties ongemarkeerd om orders van alle status te krijgen."
"From","Van"
"Leave it empty to get orders from the beginning of time.","Laat het leeg om orders te krijgen vanaf het begin van de tijd."
"To","Tot"
"Leave it empty to use the current date.","Laat het leeg om de huidige datum te gebruiken."
"Request product reviews?","Vraag productrecensies aan?"
"It add product information to orders.","Het voegt productinformatie toe aan bestellingen."
"Export File","Export bestand"
"Back","Terug"
"Reset","Reset"
